From	Entry	Protein names	Gene Names	Function [CC]	Gene Ontology (cellular component)	Interacts with
ARMC1	E5RHK3	Armadillo repeat-containing protein 1	ARMC1	FUNCTION: In association with mitochondrial contact site and cristae organizing system (MICOS) complex components and mitochondrial outer membrane sorting assembly machinery (SAM) complex components may regulate mitochondrial dynamics playing a role in determining mitochondrial length, distribution and motility. {ECO:0000256|ARBA:ARBA00023764}.	mitochondrial outer membrane [GO:0005741]	
ARMC1	E5RJ86	Armadillo repeat-containing protein 1	ARMC1	FUNCTION: In association with mitochondrial contact site and cristae organizing system (MICOS) complex components and mitochondrial outer membrane sorting assembly machinery (SAM) complex components may regulate mitochondrial dynamics playing a role in determining mitochondrial length, distribution and motility. {ECO:0000256|ARBA:ARBA00023764}.	mitochondrial outer membrane [GO:0005741]	
ARMC1	E9PR92	Armadillo repeat-containing protein 1	ARMC1	FUNCTION: In association with mitochondrial contact site and cristae organizing system (MICOS) complex components and mitochondrial outer membrane sorting assembly machinery (SAM) complex components may regulate mitochondrial dynamics playing a role in determining mitochondrial length, distribution and motility. {ECO:0000256|ARBA:ARBA00023764}.	mitochondrial outer membrane [GO:0005741]	
ARPC3	O15145	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	ARPC3 ARC21	FUNCTION: Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF) (PubMed:9230079). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility (PubMed:9230079). In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA (PubMed:29925947). The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs) (PubMed:29925947). {ECO:0000269|PubMed:29925947, ECO:0000269|PubMed:9230079}.	actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; growth cone leading edge [GO:0061850]; lamellipodium [GO:0030027]; membrane [GO:0016020]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]	P59998; P46092; Q68J44; Q8IZU1; Q08379; O43365; O95835-2; P48552; P14859-6; Q8NC74; Q86VR2; Q9NX95-5; A2RTX5; O00401; Q9H609; P0DTC9
ARPC3	C9JZD1	Actin related protein 2/3 complex subunit 3	ARPC3	FUNCTION: Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA. The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs). {ECO:0000256|ARBA:ARBA00045382}.	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	
ARPC3	F8VR50	Actin related protein 2/3 complex subunit 3	ARPC3	FUNCTION: Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA. The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs). {ECO:0000256|ARBA:ARBA00045382}.	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	
ARPC3	Q2LE71	Actin-related protein 2/3 complex subunit 3	ARPC3	FUNCTION: Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA. The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs). {ECO:0000256|ARBA:ARBA00045382}.; FUNCTION: Functions as component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. {ECO:0000256|PIRNR:PIRNR016315}.	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	
ATOX1	O00244	Copper transport protein ATOX1 (Metal transport protein ATX1)	ATOX1 HAH1	FUNCTION: Binds and deliver cytosolic copper to the copper ATPase proteins. May be important in cellular antioxidant defense.	cytosol [GO:0005829]	P35670; O43822; P49747; Q9NWS6; O95749; Q8N987
ATOX1	A0A2Z4SXE8	Antioxidant 1 copper chaperone (EC 6.2.1.2)	Atox1			
ATOX1	A0A2Z4T009	ATOX1 protein (Antioxidant 1 copper chaperone (EC 6.2.1.2))	Atox1 ATOX1			
ATOX1	E5RGN3	Copper transport protein ATOX1 (Metal transport protein ATX1)	ATOX1	FUNCTION: Binds and deliver cytosolic copper to the copper ATPase proteins. May be important in cellular antioxidant defense. {ECO:0000256|ARBA:ARBA00037651}.		
ATOX1	E5RIM7	Copper transport protein ATOX1 (Metal transport protein ATX1)	ATOX1	FUNCTION: Binds and deliver cytosolic copper to the copper ATPase proteins. May be important in cellular antioxidant defense. {ECO:0000256|ARBA:ARBA00037651}.		
ATOX1	Q6IBA3	Copper transport protein ATOX1 (Metal transport protein ATX1)	ATOX1	FUNCTION: Binds and deliver cytosolic copper to the copper ATPase proteins. May be important in cellular antioxidant defense. {ECO:0000256|ARBA:ARBA00037651}.		
ATP1A1	P05023	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	ATP1A1	FUNCTION: This is the catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of sodium and potassium ions across the plasma membrane. This action creates the electrochemical gradient of sodium and potassium ions, providing the energy for active transport of various nutrients (PubMed:29499166, PubMed:30388404). Could also be part of an osmosensory signaling pathway that senses body-fluid sodium levels and controls salt intake behavior as well as voluntary water intake to regulate sodium homeostasis (By similarity). {ECO:0000250|UniProtKB:Q8VDN2, ECO:0000269|PubMed:29499166, ECO:0000269|PubMed:30388404}.	apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]; Golgi apparatus [GO:0005794]; lateral plasma membrane [GO:0016328]; melanosome [GO:0042470]; membrane [GO:0016020]; membrane raft [GO:0045121]; organelle membrane [GO:0031090]; photoreceptor inner segment membrane [GO:0060342]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; sarcolemma [GO:0042383]; sodium:potassium-exchanging ATPase complex [GO:0005890]; sperm flagellum [GO:0036126]; T-tubule [GO:0030315]	P05026; Q92597; P13693
ATP1A1	A0A2H4Y9T5	ATP1A1	ATP1A1			
ATP1A1	L0R4U4	Alternative protein ATP1A1	ATP1A1			
ATP1A1	Q13818	ATP1A1 protein	ATP1A1			
ATP1A1	Q58I23	Na+/K+ transporting ATPase alpha 1 polypeptide	ATP1A1			
ATP1A1	Q5TC01	ATPase Na+/K+ transporting subunit alpha 1	ATP1A1		membrane [GO:0016020]	
ATP1A1	Q5TC02	ATPase Na+/K+ transporting subunit alpha 1	ATP1A1		membrane [GO:0016020]	
ATP1A1	Q5TC05	ATPase Na+/K+ transporting subunit alpha 1	ATP1A1		membrane [GO:0016020]	
ATP5C1	P36542	ATP synthase F(1) complex subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)	ATP5F1C ATP5C ATP5C1 ATP5CL1	FUNCTION: Subunit gamma, of the mitochondrial membrane ATP synthase complex (F(1)F(0) ATP synthase or Complex V) that produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (PubMed:37244256). ATP synthase complex consist of a soluble F(1) head domain - the catalytic core - and a membrane F(1) domain - the membrane proton channel (PubMed:37244256). These two domains are linked by a central stalk rotating inside the F(1) region and a stationary peripheral stalk (PubMed:37244256). During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (Probable). In vivo, can only synthesize ATP although its ATP hydrolase activity can be activated artificially in vitro (By similarity). With the central stalk subunit delta, is essential for the biogenesis of F(1) catalytic part of the ATP synthase complex namely in the formation of F1 assembly intermediate (PubMed:29499186). {ECO:0000250|UniProtKB:P19483, ECO:0000269|PubMed:29499186, ECO:0000269|PubMed:37244256, ECO:0000305|PubMed:37244256}.	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]	P06576; Q6FHY5
ATP5F1	P24539	ATP synthase peripheral stalk subunit b, mitochondrial (ATP synthase F(0) complex subunit B1, mitochondrial) (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)	ATP5PB ATP5F1	FUNCTION: Subunit b, of the mitochondrial membrane ATP synthase complex (F(1)F(0) ATP synthase or Complex V) that produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (PubMed:37244256). ATP synthase complex consist of a soluble F(1) head domain - the catalytic core - and a membrane F(1) domain - the membrane proton channel (PubMed:37244256). These two domains are linked by a central stalk rotating inside the F(1) region and a stationary peripheral stalk (PubMed:37244256). During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (Probable). In vivo, can only synthesize ATP although its ATP hydrolase activity can be activated artificially in vitro (By similarity). Part of the complex F(0) domain (PubMed:37244256). Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a/ATP6 static relative to the rotary elements (By similarity). {ECO:0000250|UniProtKB:P13619, ECO:0000250|UniProtKB:P19483, ECO:0000269|PubMed:37244256, ECO:0000305|PubMed:37244256}.	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; proton-transporting ATP synthase complex [GO:0045259]	P25705; O75947; P54253; Q14154; Q9H410; Q6P1L5; P42858; Q8N6F8; Q9ULW8
ATP5H	O75947	ATP synthase peripheral stalk subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)	ATP5PD ATP5H My032	FUNCTION: Subunit d, of the mitochondrial membrane ATP synthase complex (F(1)F(0) ATP synthase or Complex V) that produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (PubMed:37244256). ATP synthase complex consist of a soluble F(1) head domain - the catalytic core - and a membrane F(1) domain - the membrane proton channel (PubMed:37244256). These two domains are linked by a central stalk rotating inside the F(1) region and a stationary peripheral stalk (PubMed:37244256). During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (Probable). In vivo, can only synthesize ATP although its ATP hydrolase activity can be activated artificially in vitro (By similarity). Part of the complex F(0) domain (PubMed:37244256). Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a/ATP6 static relative to the rotary elements (By similarity). {ECO:0000250|UniProtKB:P13620, ECO:0000250|UniProtKB:P19483, ECO:0000269|PubMed:37244256, ECO:0000305|PubMed:37244256}.	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	P06576; P24539; P18859
ATP5H	A0PJH2	ATP synthase subunit d, mitochondrial	ATP5H	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a/ATP6 static relative to the rotary elements. {ECO:0000256|ARBA:ARBA00003411}.	mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	
ATP5H	L8E9E1	Alternative protein ATP5H	ATP5H			
ATP5I	P56385	ATP synthase F(0) complex subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e) [Cleaved into: ATP synthase F(0) complex subunit e, mitochondrial, N-terminally processed]	ATP5ME ATP5I ATP5K	FUNCTION: Subunit e, of the mitochondrial membrane ATP synthase complex (F(1)F(0) ATP synthase or Complex V) that produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (PubMed:37244256). ATP synthase complex consist of a soluble F(1) head domain - the catalytic core - and a membrane F(1) domain - the membrane proton channel (PubMed:37244256). These two domains are linked by a central stalk rotating inside the F(1) region and a stationary peripheral stalk (PubMed:37244256). During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (Probable). In vivo, can only synthesize ATP although its ATP hydrolase activity can be activated artificially in vitro (By similarity). Part of the complex F(0) domain (PubMed:37244256). {ECO:0000250|UniProtKB:P19483, ECO:0000269|PubMed:37244256, ECO:0000305|PubMed:37244256}.	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex [GO:0045259]	Q9UHD4; Q9NZD8
BAG5	Q9UL15	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	BAG5 KIAA0873	FUNCTION: Co-chaperone for HSP/HSP70 proteins. It functions as a nucleotide-exchange factor promoting the release of ADP from HSP70, thereby activating HSP70-mediated protein refolding (PubMed:20223214). Has an essential role in maintaining proteostasis at junctional membrane complexes (JMC), where it may function as a scaffold between the HSPA8 chaperone and JMC proteins enabling correct, HSPA8-dependent JMC protein folding (By similarity). Inhibits both auto-ubiquitination of PRKN and ubiquitination of target proteins by PRKN (By similarity). {ECO:0000250|UniProtKB:Q5QJC9, ECO:0000250|UniProtKB:Q8CI32, ECO:0000269|PubMed:20223214}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; inclusion body [GO:0016234]; junctional membrane complex [GO:0030314]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	Q8N9N5; Q96GN5; P17661; Q12805; Q9BPY3; Q9NYA3; P08107; Q8N6L0; Q6L8H1; Q5TA81; Q38SD2; Q5S007; Q9Y6D9; Q9NVV9; O60784-2; P14373; Q53FC7
