"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"CMPK1","CMPK1",0.6523735945,2.510137151,3,10,"(0.6,0.7]","FUNCTION: Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors. Also displays broad nucleoside diphosphate kinase activity. {ECO:0000255|HAMAP-Rule:MF_03172, ECO:0000269|PubMed:10462544, ECO:0000269|PubMed:11912132, ECO:0000269|PubMed:23416111}.","UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)"
"COX4I1","COX4I1",-0.9429752628,2.84840107,3,222,"(-1,-0.9]","FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P00424}.","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)"
"COX5B","COX5B",0.6157222332,2.483122195,4,11,"(0.6,0.7]","FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P04037}.","Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)"
"COX6A1","COX6A1",1.57908138,3.402893935,3,1,"(1.5,1.6]","FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules unsing 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P32799}.","Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver) (Cytochrome c oxidase subunit VIA-liver) (COX VIa-L)"
"COX6C","COX6C",-1.616002773,2.597241245,3,238,"(-1.7,-1.6]","FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P04038}.","Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)"
"COX7A2L","COX7A2L",-0.7893548409,1.929816807,3,215,"(-0.8,-0.7]","FUNCTION: Assembly factor that mediates the formation of some mitochondrial respiratory supercomplexes (respirasomes), thereby promoting oxidative phosphorylation and energy metabolism (PubMed:27545886, PubMed:30428348, PubMed:33727070, PubMed:36198313). Acts as a molecular adapter that associates with both mitochondrial respiratory complexes III (CIII) and IV (CIV), promoting their association (PubMed:27545886, PubMed:36198313). Mediates the formation of various mitochondrial respiratory supercomplexes, such as MCIII(2)IV(2), composed of two CIII and two CIV, and the CS-respirasome (MCI(1)III(2)IV(2)), composed of one CI, two CIII and two CIV (PubMed:27545886, PubMed:30428348). Not involved in the formation of the canonical respirasome (MCI(1)III(2)IV(1)), composed of one CI, two CIII and one CIV (By similarity). The formation of different respirasomes is important for cell adaptation to oxygen conditions and prevent metabolic exhaustion: supercomplexes mediated by COX7A2L/SCAF1 are required to maintain oxidative phosphorylation upon low oxygen conditions and promote metabolic rewiring toward glycolysis (PubMed:36198313). {ECO:0000250|UniProtKB:Q99KD6, ECO:0000269|PubMed:27545886, ECO:0000269|PubMed:30428348, ECO:0000269|PubMed:33727070, ECO:0000269|PubMed:36198313}.","Cytochrome c oxidase subunit 7A2-like, mitochondrial (Cytochrome c oxidase subunit 7A-related protein) (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1) (Supercomplex assembly factor 1)"
"CPOX","CPOX",-0.6990360481,3.134188454,3,204,"(-0.7,-0.6]","FUNCTION: Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX and participates to the sixth step in the heme biosynthetic pathway. {ECO:0000269|PubMed:8159699}.","Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)"
"CS","CS",-0.4775177207,2.064421417,3,158,"(-0.5,-0.4]","FUNCTION: Key enzyme of the Krebs tricarboxylic acid cycle which catalyzes the synthesis of citrate from acetyl coenzyme A and oxaloacetate. {ECO:0000305}.","Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)"
"CTPS1","CTPS1",0.3365844923,1.541655147,3,38,"(0.3,0.4]","FUNCTION: This enzyme is involved in the de novo synthesis of CTP, a precursor of DNA, RNA and phospholipids. Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as a source of nitrogen. This enzyme and its product, CTP, play a crucial role in the proliferation of activated lymphocytes and therefore in immunity. {ECO:0000269|PubMed:16179339, ECO:0000269|PubMed:24870241}.","CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)"
"CUL2","CUL2",0.390733971,2.872469937,3,33,"(0.3,0.4]","FUNCTION: Core component of multiple cullin-RING-based ECS (ElonginB/C-CUL2/5-SOCS-box protein) E3 ubiquitin-protein ligase complexes, which mediate the ubiquitination of target proteins (PubMed:11384984, PubMed:26138980, PubMed:29775578, PubMed:29779948, PubMed:38326650). CUL2 serves as a rigid scaffold in the complex and may contribute to catalysis through positioning of the substrate and the E2 ubiquitin-conjugating enzyme (PubMed:10973499, PubMed:11384984, PubMed:12609982, PubMed:24076655, PubMed:9122164, PubMed:38326650). The E3 ubiquitin-protein ligase activity of the complex is dependent on the neddylation of the cullin subunit and is inhibited by the association of the deneddylated cullin subunit with TIP120A/CAND1 (PubMed:12609982, PubMed:24076655, PubMed:27565346, PubMed:38326650). The functional specificity of the ECS complex depends on the substrate recognition component (PubMed:10973499, PubMed:26138980, PubMed:29775578, PubMed:29779948, PubMed:9122164, PubMed:38326650). ECS(VHL) mediates the ubiquitination of hypoxia-inducible factor (HIF) (PubMed:10973499, PubMed:9122164). A number of ECS complexes (containing either KLHDC2, KLHDC3, KLHDC10, APPBP2, FEM1A, FEM1B or FEM1C as substrate-recognition component) are part of the DesCEND (destruction via C-end degrons) pathway, which recognizes a C-degron located at the extreme C terminus of target proteins, leading to their ubiquitination and degradation (PubMed:26138980, PubMed:29775578, PubMed:29779948). ECS complexes and ARIH1 collaborate in tandem to mediate ubiquitination of target proteins (PubMed:27565346). ECS(LRR1) ubiquitinates MCM7 and promotes CMG replisome disassembly by VCP and chromatin extraction during S-phase (By similarity). {ECO:0000250|UniProtKB:Q9D4H8, ECO:0000269|PubMed:10973499, ECO:0000269|PubMed:11384984, ECO:0000269|PubMed:12609982, ECO:0000269|PubMed:24076655, ECO:0000269|PubMed:26138980, ECO:0000269|PubMed:27565346, ECO:0000269|PubMed:29775578, ECO:0000269|PubMed:29779948, ECO:0000269|PubMed:38326650, ECO:0000269|PubMed:9122164}.","Cullin-2 (CUL-2)"
"CYR61","CYR61",0.2791905974,1.688116659,3,54,"(0.2,0.3]",NA,NA
"DAG1","DAG1",0.5119725226,1.074149172,3,16,"(0.5,0.6]","FUNCTION: The dystroglycan complex is involved in a number of processes including laminin and basement membrane assembly, sarcolemmal stability, cell survival, peripheral nerve myelination, nodal structure, cell migration, and epithelial polarization.; FUNCTION: [Alpha-dystroglycan]: Extracellular peripheral glycoprotein that acts as a receptor for extracellular matrix proteins containing laminin-G domains. Receptor for laminin-2 (LAMA2) and agrin in peripheral nerve Schwann cells. Also acts as a receptor for laminin LAMA5 (By similarity). {ECO:0000250|UniProtKB:O18738}.; FUNCTION: [Beta-dystroglycan]: Transmembrane protein that plays important roles in connecting the extracellular matrix to the cytoskeleton. Acts as a cell adhesion receptor in both muscle and non-muscle tissues. Receptor for both DMD and UTRN and, through these interactions, scaffolds axin to the cytoskeleton. Also functions in cell adhesion-mediated signaling and implicated in cell polarity.; FUNCTION: [Alpha-dystroglycan]: (Microbial infection) Acts as a receptor for lassa virus and lymphocytic choriomeningitis virus glycoprotein and class C new-world arenaviruses (PubMed:16254364, PubMed:17360738, PubMed:19324387). Acts as a Schwann cell receptor for Mycobacterium leprae, the causative organism of leprosy, but only in the presence of the G-domain of LAMA2 (PubMed:9851927). {ECO:0000269|PubMed:16254364, ECO:0000269|PubMed:17360738, ECO:0000269|PubMed:19324387, ECO:0000269|PubMed:9851927}.","Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]"
"DAPK1","DAPK1",1.003518106,2.361652881,3,2,"(1,1.1]","FUNCTION: Calcium/calmodulin-dependent serine/threonine kinase involved in multiple cellular signaling pathways that trigger cell survival, apoptosis, and autophagy. Regulates both type I apoptotic and type II autophagic cell deaths signal, depending on the cellular setting. The former is caspase-dependent, while the latter is caspase-independent and is characterized by the accumulation of autophagic vesicles. Phosphorylates PIN1 resulting in inhibition of its catalytic activity, nuclear localization, and cellular function. Phosphorylates TPM1, enhancing stress fiber formation in endothelial cells. Phosphorylates STX1A and significantly decreases its binding to STXBP1. Phosphorylates PRKD1 and regulates JNK signaling by binding and activating PRKD1 under oxidative stress. Phosphorylates BECN1, reducing its interaction with BCL2 and BCL2L1 and promoting the induction of autophagy. Phosphorylates TSC2, disrupting the TSC1-TSC2 complex and stimulating mTORC1 activity in a growth factor-dependent pathway. Phosphorylates RPS6, MYL9 and DAPK3. Acts as a signaling amplifier of NMDA receptors at extrasynaptic sites for mediating brain damage in stroke. Cerebral ischemia recruits DAPK1 into the NMDA receptor complex and it phosphorylates GRINB at Ser-1303 inducing injurious Ca(2+) influx through NMDA receptor channels, resulting in an irreversible neuronal death. Required together with DAPK3 for phosphorylation of RPL13A upon interferon-gamma activation which is causing RPL13A involvement in transcript-selective translation inhibition.; FUNCTION: Isoform 2 cannot induce apoptosis but can induce membrane blebbing.","Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)"
"DDX52","DDX52",0.4065004562,1.405844279,3,30,"(0.4,0.5]","FUNCTION: Required for efficient ribosome biogenesis (By similarity). May control cell cycle progression by regulating translation of mRNAs that contain a terminal oligo pyrimidine (TOP) motif in their 5' UTRs, such as GTPBP4 (By similarity). {ECO:0000250|UniProtKB:Q9VVK8}.","Probable ATP-dependent RNA helicase DDX52 (EC 3.6.4.13) (ATP-dependent RNA helicase ROK1-like) (DEAD box protein 52)"
